租金(元),面积(平米),均价,评分,户型,室,厅,卫,装修,出租方式,面积评分,租金评分,装修评分,地址评分,总评分,地址,url
1780.0,45.0,39.56,100%,1室1厅1卫,1,1,1,精装修,整租,1,1,1,2,5,深圳龙华区龙华镇东环二路与龙观东路交汇处,http://sz.zu.fang.com/chuzu/3_209664726_1.htm
1980.0,48.0,41.25,50%,1室1厅1卫,1,1,1,精装修,整租,1,1,1,2,5,深圳龙华区龙华民治大道樟坑民治地铁口旁,http://sz.zu.fang.com/chuzu/3_209741495_1.htm
1800.0,45.0,40.0,17%,1室1厅1卫,1,1,1,精装修,整租,1,1,1,2,5,深圳龙华区龙华民治大道樟坑民治地铁口旁,http://sz.zu.fang.com/chuzu/3_208841139_1.htm
1280.0,45.0,28.44,100%,1室0厅1卫,1,0,1,精装修,整租,1,1,1,2,5,深圳龙华区龙华镇清湖路72号,http://sz.zu.fang.com/chuzu/3_209887749_1.htm
1880.0,45.0,41.78,100%,1室1厅1卫,1,1,1,精装修,整租,1,1,1,2,5,深圳龙华区建设路和中环路交汇处,http://sz.zu.fang.com/chuzu/3_209810542_1.htm
1780.0,45.0,39.56,100%,1室1厅1卫,1,1,1,精装修,整租,1,1,1,2,5,深圳龙华区宝安龙华弓村,http://sz.zu.fang.com/chuzu/3_209809532_1.htm
1800.0,45.0,40.0,100%,1室1厅1卫,1,1,1,精装修,整租,1,1,1,2,5,深圳龙华区和平路与东环二路交汇处,http://sz.zu.fang.com/chuzu/3_209809285_1.htm
1600.0,42.0,38.1,0%,1室1厅1卫,1,1,1,精装修,整租,1,1,1,2,5,深圳龙华区龙华新区东环一路,http://sz.zu.fang.com/chuzu/3_209219077_1.htm
1200.0,135.0,8.89,100%,4室2厅3卫,4,2,3,豪华装修,主卧(合租),1,1,1,2,5,深圳龙华区龙华新区政府旁观澜大道与环观南路交汇处,http://sz.zu.fang.com/hezu/3_209342968_1.htm
1850.0,42.0,44.05,17%,1室1厅1卫,1,1,1,精装修,整租,1,1,1,2,5,深圳龙华区龙华民治大道樟坑民治地铁口旁,http://sz.zu.fang.com/chuzu/3_209296016_1.htm
1800.0,45.0,40.0,50%,1室1厅1卫,1,1,1,精装修,整租,1,1,1,2,5,深圳龙华区龙华汽车站后面,http://sz.zu.fang.com/chuzu/3_209567870_1.htm
1800.0,45.0,40.0,100%,1室1厅1卫,1,1,1,精装修,整租,1,1,1,2,5,深圳龙华区龙华东环二路与三联路交汇处,http://sz.zu.fang.com/chuzu/3_209810070_1.htm
1380.0,33.0,41.82,0%,1室1厅1卫,1,1,1,精装修,整租,0,1,1,2,4,深圳龙华区宝安区龙华镇,http://sz.zu.fang.com/chuzu/3_209589267_1.htm
3000.0,50.0,60.0,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华人民路与和平路交界处,http://sz.zu.fang.com/chuzu/3_209260584_1.htm
4800.0,52.0,92.31,100%,2室1厅1卫,2,1,1,精装修,整租,1,0,1,2,4,深圳龙华区梅龙路与金龙路交汇处,http://sz.zu.fang.com/chuzu/3_209690455_1.htm
4500.0,52.0,86.54,100%,1室1厅1卫,1,1,1,豪华装修,整租,1,0,1,2,4,深圳龙华区梅龙路与金龙路交汇处,http://sz.zu.fang.com/chuzu/3_209442549_1.htm
3900.0,45.0,86.67,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华拓展区梅龙路与民兴路交汇处西南,http://sz.zu.fang.com/chuzu/3_209727493_1.htm
4000.0,90.0,44.44,100%,3室2厅1卫,3,2,1,豪华装修,整租,1,0,1,2,4,深圳龙华区梅观高速与环观南路交汇处鹭湖国际住区,http://sz.zu.fang.com/chuzu/3_209780256_1.htm
3000.0,49.0,61.22,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华镇布龙公路与明治大道交汇处,http://sz.zu.fang.com/chuzu/3_208825870_1.htm
4200.0,73.0,57.53,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区民治大道与民康路交汇处,http://sz.zu.fang.com/chuzu/3_209622396_1.htm
1550.0,35.0,44.29,17%,1室0厅1卫,1,0,1,精装修,整租,0,1,1,2,4,深圳龙华区龙华人民路与工业大道交汇处,http://sz.zu.fang.com/chuzu/3_209522977_1.htm
1800.0,35.0,51.43,100%,1室0厅1卫,1,0,1,精装修,整租,0,1,1,2,4,深圳龙华区梅龙大道与东环一路交汇处,http://sz.zu.fang.com/chuzu/3_208378734_1.htm
3700.0,89.0,41.57,100%,3室2厅1卫,3,2,1,豪华装修,整租,1,0,1,2,4,深圳龙华区大和路与竹园路交汇处，大和路西侧,http://sz.zu.fang.com/chuzu/3_209512343_1.htm
2000.0,49.0,40.82,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区观澜街道泗黎路与悦兴路交汇处,http://sz.zu.fang.com/chuzu/3_209365814_1.htm
3500.0,50.0,70.0,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区观澜大和路和环观南路交汇处,http://sz.zu.fang.com/chuzu/3_209230883_1.htm
4000.0,67.0,59.7,100%,3室2厅2卫,3,2,2,精装修,整租,1,0,1,2,4,深圳龙华区龙华新区政府旁观澜大道与环观南路交汇处,http://sz.zu.fang.com/chuzu/3_209500400_1.htm
4300.0,64.0,67.19,100%,2室1厅1卫,2,1,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华东环一路,http://sz.zu.fang.com/chuzu/3_208676321_1.htm
3200.0,45.0,71.11,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华街道民福路西侧,http://sz.zu.fang.com/chuzu/3_209857685_1.htm
3400.0,64.0,53.12,50%,2室2厅1卫,2,2,1,豪华装修,整租,1,0,1,2,4,深圳龙华区人民路与和平路交汇处东南角,http://sz.zu.fang.com/chuzu/3_209773106_1.htm
4000.0,89.0,44.94,100%,3室2厅1卫,3,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华新区政府旁观澜大道与环观南路交汇处,http://sz.zu.fang.com/chuzu/3_209849968_1.htm
4300.0,87.0,49.43,100%,4室2厅2卫,4,2,2,精装修,整租,1,0,1,2,4,深圳龙华区福前路与新丹路交汇处（靠近观光路）,http://sz.zu.fang.com/chuzu/3_209689780_1.htm
4200.0,83.0,50.6,100%,3室2厅1卫,3,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华新区梅坂大道梅林关口旁,http://sz.zu.fang.com/chuzu/3_209482172_1.htm
1650.0,45.0,36.67,100%,1室1厅1卫,1,1,1,精装修,整租,1,1,1,1,4,深圳南山南山西丽沙河西路白芒村,http://sz.zu.fang.com/chuzu/3_209675188_1.htm
1400.0,35.0,40.0,0%,1室0厅1卫,1,0,1,精装修,整租,0,1,1,2,4,深圳龙华区龙华东环二路与三联路交汇处,http://sz.zu.fang.com/chuzu/3_209384503_1.htm
1500.0,30.0,50.0,100%,1室0厅1卫,1,0,1,精装修,整租,0,1,1,2,4,深圳龙华区龙华镇清湖路72号,http://sz.zu.fang.com/chuzu/3_209613977_1.htm
1580.0,40.0,39.5,0%,1室1厅1卫,1,1,1,精装修,整租,0,1,1,2,4,深圳龙华区宝安龙华弓村,http://sz.zu.fang.com/chuzu/3_208308466_1.htm
4400.0,89.0,49.44,33%,3室2厅2卫,3,2,2,精装修,整租,1,0,1,2,4,深圳龙华区龙华观澜街道（横坑水库南侧）,http://sz.zu.fang.com/chuzu/3_208914638_1.htm
1580.0,40.0,39.5,0%,1室1厅1卫,1,1,1,精装修,整租,0,1,1,2,4,深圳龙华区宝安龙华弓村,http://sz.zu.fang.com/chuzu/3_208310366_1.htm
2988.0,43.0,69.49,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华镇梅龙路与龙胜路交汇处,http://sz.zu.fang.com/chuzu/3_209408021_1.htm
3000.0,56.0,53.57,100%,3室2厅1卫,3,2,1,精装修,整租,1,0,1,2,4,深圳龙华区碧澜路与悦兴路交汇处,http://sz.zu.fang.com/chuzu/3_209521806_1.htm
4200.0,47.0,89.36,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区和平路与布龙路交汇处西角，地铁4号线龙胜站AD出口,http://sz.zu.fang.com/chuzu/3_209415236_1.htm
3500.0,64.0,54.69,50%,2室2厅1卫,2,2,1,豪华装修,整租,1,0,1,2,4,深圳龙华区龙华镇和平路与东环一路交汇处,http://sz.zu.fang.com/chuzu/3_209773255_1.htm
4600.0,80.0,57.5,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区观澜高尔夫大道,http://sz.zu.fang.com/chuzu/3_209131603_1.htm
3200.0,75.0,42.67,100%,3室2厅1卫,3,2,1,精装修,整租,1,0,1,2,4,深圳龙华区观澜大道和人民路交汇处,http://sz.zu.fang.com/chuzu/3_209825968_1.htm
4000.0,80.0,50.0,100%,3室2厅1卫,3,2,1,精装修,整租,1,0,1,2,4,深圳龙华区观澜大道和人民路交汇处,http://sz.zu.fang.com/chuzu/3_209166470_1.htm
4100.0,89.0,46.07,100%,4室2厅2卫,4,2,2,豪华装修,整租,1,0,1,2,4,深圳龙华区观澜大道和人民路交汇处,http://sz.zu.fang.com/chuzu/3_209738832_1.htm
4500.0,77.0,58.44,100%,3室2厅1卫,3,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华镇东环二路与龙观东路交汇处,http://sz.zu.fang.com/chuzu/3_209590943_1.htm
4800.0,100.0,48.0,100%,3室2厅2卫,3,2,2,精装修,整租,1,0,1,2,4,深圳龙华区龙华镇布龙公路与民治大道交汇西南角处,http://sz.zu.fang.com/chuzu/3_209620646_1.htm
4800.0,56.0,85.71,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区梅龙路与金龙路交汇处,http://sz.zu.fang.com/chuzu/3_209881452_1.htm
4000.0,56.0,71.43,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区梅龙路与金龙路交汇处,http://sz.zu.fang.com/chuzu/3_209691398_1.htm
1200.0,35.0,34.29,17%,1室0厅1卫,1,0,1,精装修,整租,0,1,1,2,4,深圳龙华区龙华街道东环一路与建设路交汇处,http://sz.zu.fang.com/chuzu/3_209523559_1.htm
3800.0,89.0,42.7,100%,4室2厅2卫,4,2,2,豪华装修,整租,1,0,1,2,4,深圳龙华区观澜大和路和环观南路交汇处,http://sz.zu.fang.com/chuzu/3_209333043_1.htm
1400.0,30.0,46.67,100%,1室0厅1卫,1,0,1,豪华装修,整租,0,1,1,2,4,深圳龙华区宝安区龙华建设路与东环一路交界处,http://sz.zu.fang.com/chuzu/3_209604665_1.htm
4500.0,89.0,50.56,100%,3室2厅1卫,3,2,1,精装修,整租,1,0,1,2,4,深圳龙华区观澜大和路和环观南路交汇处,http://sz.zu.fang.com/chuzu/3_209534575_1.htm
3600.0,88.0,40.91,100%,2室2厅1卫,2,2,1,豪华装修,整租,1,0,1,2,4,深圳龙华区大和路与竹园路交汇处，大和路西侧,http://sz.zu.fang.com/chuzu/3_209481153_1.htm
4900.0,111.0,44.14,100%,3室2厅2卫,3,2,2,精装修,整租,1,0,1,2,4,深圳龙华区龙华镇民治大道西面,http://sz.zu.fang.com/chuzu/3_209734167_1.htm
4900.0,85.0,57.65,100%,3室2厅1卫,3,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华街道民福路西侧民新路口,http://sz.zu.fang.com/chuzu/3_209909547_1.htm
3800.0,44.0,86.36,100%,2室1厅1卫,2,1,1,豪华装修,整租,1,0,1,2,4,深圳龙华区梅龙路与金龙路交汇处,http://sz.zu.fang.com/chuzu/3_209484762_1.htm
